STIXSizeOneSym,/System/Library/Fonts/Supplemental/STIXSizOneSymBol.otf
STIXSizeThreeSym,/System/Library/Fonts/Supplemental/STIXSizThreeSymBol.otf
STIXSizeTwoSym,/System/Library/Fonts/Supplemental/STIXSizTwoSymBol.otf
STIXVariants,/System/Library/Fonts/Supplemental/STIXVarBol.otf
Sana,/System/Library/Fonts/Supplemental/Sana.ttc
Sathu,/System/Library/Fonts/Supplemental/Sathu.ttf
Savoye LET,/System/Library/Fonts/Supplemental/Savoye LET.ttc
Seravek,/System/Library/Fonts/Supplemental/Seravek.ttc
Shree Devanagari 714,/System/Library/Fonts/Supplemental/Shree714.ttc
SignPainter,/System/Library/Fonts/Supplemental/SignPainter.ttc
Silom,/System/Library/Fonts/Supplemental/Silom.ttf
SimHei,/Users/hans/Library/Fonts/SimHei.ttf
Sinhala MN,/System/Library/Fonts/Supplemental/Sinhala MN.ttc
Sinhala Sangam MN,/System/Library/Fonts/Supplemental/Sinhala Sangam MN.ttc
Skia,/System/Library/Fonts/Supplemental/Skia.ttf
Snell Roundhand,/System/Library/Fonts/Supplemental/SnellRoundhand.ttc
Songti SC,/System/Library/Fonts/Supplemental/Songti.ttc
Sukhumvit Set,/System/Library/Fonts/Supplemental/SukhumvitSet.ttc
Superclarendon,/System/Library/Fonts/Supplemental/SuperClarendon.ttc
Symbol,/System/Library/Fonts/Symbol.ttf
System Font,/System/Library/Fonts/SFNSItalic.ttf
Tahoma,/System/Library/Fonts/Supplemental/Tahoma.ttf
Tamil MN,/System/Library/Fonts/Supplemental/Tamil MN.ttc
Tamil Sangam MN,/System/Library/Fonts/Supplemental/Tamil Sangam MN.ttc
Telugu MN,/System/Library/Fonts/Supplemental/Telugu MN.ttc
Telugu Sangam MN,/System/Library/Fonts/Supplemental/Telugu Sangam MN.ttc
Thonburi,/System/Library/Fonts/Thonburi.ttc
Times,/System/Library/Fonts/Times.ttc
Times New Roman,/System/Library/Fonts/Supplemental/Times New Roman Italic.ttf
Trattatello,/System/Library/Fonts/Supplemental/Trattatello.ttf
Trebuchet MS,/System/Library/Fonts/Supplemental/Trebuchet MS Italic.ttf
Verdana,/System/Library/Fonts/Supplemental/Verdana.ttf
Waseem,/System/Library/Fonts/Supplemental/Waseem.ttc
Webdings,/System/Library/Fonts/Supplemental/Webdings.ttf
Wingdings,/System/Library/Fonts/Supplemental/Wingdings.ttf
Wingdings 2,/System/Library/Fonts/Supplemental/Wingdings 2.ttf
Wingdings 3,/System/Library/Fonts/Supplemental/Wingdings 3.ttf
Zapf Dingbats,/System/Library/Fonts/ZapfDingbats.ttf
Zapfino,/System/Library/Fonts/Supplemental/Zapfino.ttf
cmb10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf
cmex10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf
cmmi10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmmi10.ttf
cmr10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf
cmss10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmss10.ttf
cmsy10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf
cmtt10,/Users/hans/opt/anaconda3/lib/python3.9/site-packages/matplotlib/mpl-data/fonts/ttf/cmtt10.ttf
